price,bed,bath,sqft,addr,desc,info
"$374,900",1,bath,650,"107-91 Chapel St, Nanaimo, BC, V9R 5H3","Sun-filled ‘Like new’ 1 bedroom, 1 bathroom, self-contained luxury condo in downtown Nanaimo’s nicest and newest city centre residential complex, 91 Chapel Street. A true west coast lifestyle property, this home has 2 large outdoor patios & offers a beautifully appointed, light-filled living space including a spacious bedroom with a walk-in closet & 4-piece ensuite. Luxury features include stone counters, a stainless steel appliance package, in-suite laundry, and a cozy electric fireplace. Other amenities include a private patio, secure storage unit, bike & paddleboard storage, views of Mount Benson, and a communal courtyard. With an inspiring location in Nanaimo's bustling downtown, this home offers a highly walkable lifestyle and is just steps to shops, cafes, restaurants, the seawall, marinas, and seaplanes to Vancouver. This ground-floor unit enjoys direct access from the patio to the street making it ideal for pet owners or anyone looking to avoid congested hallways and elevators.","{'Property Tax': '$2,229 (2022)', 'Last Updated': 'Fri, July 14, 2023', 'MLS® #': '937369', 'Date Listed': 'Jul 13, 2023', 'Property Type': 'Condo', 'Square Footage': '650 SQFT', 'Subdivision': '91 CHAPEL', 'Rooms': '6', 'Heating': 'Baseboard, Electric', 'Pet Policy': 'Number Limit', 'Stories': '6', 'Flooring': 'Vinyl', 'Area': 'Nanaimo', 'Sewer': 'Sewer Connected', 'Parking Features': 'Guest', 'Fireplace Features': 'Electric', 'Exterior Features': 'Balcony/Patio, Fencing: Partial, Garden, Low Maintenance Yard, Security System, Sprinkler System, Wheelchair Access', 'Building Features': 'Bike Storage, Fire Alarm, Fire Sprinklers, Transit Nearby'}"
"$1,599,000",0,0,Land,"1591 Townsite Rd, Nanaimo, BC, V9S 1M9","Potential multi-family building lot located near an existing large multi-family complex, close to school, the hospital and parks; this 14,652 sq foot lot also features a beautiful view of Mount Benson. The seller has completed some work such as the installation of a storm drain system.","{'Property Tax': '$1,892 (2020)', 'Last Updated': 'Mon, July 24, 2023', 'MLS® #': '938273', 'Date Listed': 'Jul 24, 2023', 'Property Type': 'Vacant Land', 'Rooms': '0', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Area': 'Nanaimo', 'Sewer': 'Sewer Available, Sewer Connected'}"
"$574,900",1,bath,745,"302-4474 Wellington Rd, Nanaimo, BC, V9T 2H3","Discover the ultimate in luxury living at Long Lake Views Luxury Condos in Nanaimo, BC. Our collection of 16 architecturally designed homes offers breathtaking views, spacious interiors & the perfect blend of elegance and functionality. Choose from 10-1bed/1bath units, 2-2 bed/1 bath units & 4-2-bed/2 bath units to find your dream home. Relax in the spacious open-concept living areas w/ large windows and high-end finishes, including quartz countertops, European exterior access glass doors, sleek hardware, top of the line in temperature control comforts with individual heat pumps and stainless steel appliances. Step outside onto the massive decks and enjoy the breathtaking views, or take in even more of the scenery from the wrap-around decks in the 4 end cap suites. With lake view units available, you can admire the stunning scenery from the comfort of your own home. Located in convenient North Nanaimo, BC, Book a tour today & experience the ultimate in luxury living in Nanaimo, BC.","{'Property Tax': 'N/A', 'Last Updated': 'Fri, July 7, 2023', 'MLS® #': '923468', 'Date Listed': 'Feb 11, 2023', 'Property Type': 'Condo', 'Square Footage': '745 SQFT', 'Subdivision': 'Long Lake Views', 'Rooms': '6', 'Heating': 'Electric, Heat Pump', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Stories': '3', 'Flooring': 'Vinyl', 'Area': 'Nanaimo', 'Sewer': 'Sewer Connected', 'Parking Features': 'Underground', 'Exterior Features': 'Awning(s), Balcony/Deck, Balcony/Patio, Fencing: Partial, Lighting, Security System, Wheelchair Access', 'Building Features': 'Bike Storage, Fire Sprinklers'}"
"$848,888",N/A,0,"1,340","582 BRADLEY St, Nanaimo, BC, V9S 1C1","OPPORTUNITY KNOCKS! Development permit in place for a 5 plex. Currently tenented for 1825+utilities to wonderful tenants who would love to stay. This cute centrally located family home could be your opportunity to get into the Market! Featuring 3 beds, 2 bathrooms. The upper level features the large private master bedroom with a soaker tub and walk in closet. The home has received numerous updates over the years including a beautifully updated kitchen, new flooring, paint, newer windows and a new roof installed in 2019. All data and measurements to be verified if important. Also MLS 937614","{'Property Tax': '$3,064 (2022)', 'Last Updated': 'Mon, July 17, 2023', 'MLS® #': '937623', 'Date Listed': 'Jul 17, 2023', 'Property Type': 'MultiFamily', 'Square Footage': '1,340 SQFT', 'Area': 'Nanaimo', 'Parking Features': 'On Site'}"
"$2,999,000",5,4,"6,909","3440 Creekside Pl, Nanaimo, BC, V9R 7C7","Nestled on Nanaimo's famous backdrop, Mt. Benson offers a play ground for hiking, biking, atv & horseback riding. Steps away to all of the above activities, you can also stroll through the forested trails that lead you to the spectacular Ammonite Falls. Enjoy the views & swim in the plunge pool. This one of a kind property has over 2.7 acres of flat usable acreage. The exterior of the home has solid polished concrete posts & retaining walls that encompass the meticulous hand crafted covered wrap around deck featuring the finest red cedar decking & railings w/ grand post & beam work reminiscent of craftsman style architecture. The interior has 6900 sq. feet of living space w/ 10 foot ceilings, Italian marble, Canadian oak hardwood flooring, marble fireplace & Schonbek chandeliers.  Bathe in relaxation in your jetted tub w/ chromotherapy, cook & entertain in your spacious chef's kitchen, enjoy your billiards room, games room & theatre. Resort style living with endless activities.","{'Property Tax': '$8,171 (2022)', 'Last Updated': 'Mon, July 31, 2023', 'MLS® #': '937094', 'Date Listed': 'Jul 11, 2023', 'Property Type': 'Single Family', 'Square Footage': '6,909 SQFT', 'Rooms': '21', 'Heating': 'Electric, Heat Pump', 'Pet Policy': 'Cats OK, Dogs OK', 'Basement': 'Full', 'Flooring': 'Mixed', 'Area': 'Nanaimo', 'Roof': 'Fibreglass Shingle', 'Sewer': 'Septic System', 'Parking Features': 'Driveway, RV Access/Parking', 'Fireplace Features': 'Electric, Other'}"
"$569,900",2,1,724,"563 Poplar St, Nanaimo, BC, V9S 2H3","Here's your chance for a slice of Brechin Hill. This well-kept character home offers 2 bedrooms / 1 bathroom, views, and the potential for future development. Step inside this charming home and enjoy the peek-a-boo ocean and mountain views, updated flooring, and updated windows. For storage, there is an unfinished partial basement for storage/workshop. As the existing home is situated near the back alley, this spacious lot with access & sewer/water available from the ""front"" of the lot (on Poplar) allows for the opportunity for expansion, building, customization, or investment. Convenient to the Departure Bay Ferry Terminal, waterfront, and downtown, enjoy a vibrant community and proximity to amenities. Don't miss this chance to own a piece of history and experience coastal living in Nanaimo! Data & msmnts are approx. verify if important.","{'Property Tax': '$3,281 (2022)', 'Last Updated': 'Thu, July 27, 2023', 'MLS® #': '935914', 'Date Listed': 'Jun 27, 2023', 'Property Type': 'Single Family', 'Square Footage': '724 SQFT', 'Rooms': '10', 'Heating': 'Forced Air, Oil', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Not Full Height, Unfinished', 'Flooring': 'Laminate, Mixed', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Driveway', 'Exterior Features': 'Balcony/Deck', 'Building Features': 'Basement'}"
"$849,900",5,3,"2,683","5816 Tweedsmuir Cres, Nanaimo, BC, V9T 5Y6","Do not miss this outstanding family home in ever poplar Parkwood estates .What a great place to
raise your family. Within walking distance to Randerson Ridge and Dover Bay schools. Don't forget the many community parks too. Nearby are grocery stores, restaurants and malls that make up the perfect North Nanaimo community. This home features over 2600 sq ft of living space on two levels with 5 bedrooms ,3 bathrooms, ensuite with large walk in shower and summer kitchen in basement if so desired. Wait till you see the bright newer dream kitchen with appliances and lots of pot lighting. Everyone loves the family room off the kitchen perfect for the kids with sliding door to
deck overlooking private back yard. Living room has gas fireplace and features recessed windows perfect for evening sunsets. Upon entry impressive covered porch leads to outstanding foyer. Double garage has extra storage. Heat pump is perfect for summer and winter. Now is the time to make your move. View it Today!","{'Property Tax': '$3,728 (2023)', 'Last Updated': 'Mon, July 31, 2023', 'MLS® #': '938829', 'Date Listed': 'Jul 29, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,683 SQFT', 'Rooms': '16', 'Heating': 'Forced Air, Heat Pump, Natural Gas', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Finished', 'Flooring': 'Mixed', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Additional Parking, Garage Double, On Street', 'Fireplace Features': 'Living Room', 'Exterior Features': 'Balcony/Deck, Fencing: Partial, Low Maintenance Yard', 'Building Features': 'Basement, Transit Nearby'}"
"$1,199,900",6,4,"2,850","105 Royal Pacific Way, Nanaimo, BC, V9T 0B9","Brand new 6 bedroom, 4 bath ocean view home. This quality built residence provides ample revenue generating options with it's 2 bed/1 bath legal suite along with an additional large bedroom and bathroom with it's own entrance. The main level kitchen is full of storage and counter space to prepare your favorite meals. Quartz counters throughout, solid wood cabinetry with soft close drawers. Cozy up to your natural gas fireplace in the great room while watching the ocean life below and enjoy your large outdoor deck right off the great room. The main bedrooms are tucked away in the back corner of the home with the 4 piece bath and laundry room.  Your master suite is separated into it's own section of the main level with a walk in closet, ensuite and ocean view bedroom that takes in loads of natural light.","{'Property Tax': '$2,340 (2020)', 'Last Updated': 'Sat, July 29, 2023', 'MLS® #': '937920', 'Date Listed': 'Jul 18, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,850 SQFT', 'Rooms': '16', 'Heating': 'Forced Air, Heat Pump, Natural Gas', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Finished, Full', 'Flooring': 'Mixed', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Attached, Driveway, Garage Double, On Street', 'Fireplace Features': 'Gas, Living Room', 'Exterior Features': 'Balcony/Deck, Low Maintenance Yard'}"
"$1,250,000",6,4,"3,165","3223 Serabi Pl, Nanaimo, BC, V9T 5W9","Family home in desirable Stephensons Point! With its impressive features and ample living space, this house is perfect for a large family. Spanning across two levels, this home boasts a two-bedroom in-law suite and a total of 6 beds, and 4 baths. Beautiful kitchen, with granite countertops, wood cabinetry, and ample storage. Plenty of windows flood the home with natural light, and hardwood floors. The master suite features a large walk-in closet and spa-like ensuite with double sinks, and separate tub and shower. The house is equipped with a heat pump, and furnace ensuring year-round comfort and energy efficiency. Outside you’ll discover a large balcony where you can enjoy your morning coffee, a cozy sunroom, and beautifully planned deer-friendly landscaping. This home offers ample parking with a 2 car garage and large driveway. Located at the end of a peaceful dead-end street, abutting lush green space that provides tranquility and privacy. Measurements are appx, buyer to verify.","{'Property Tax': '$6,326 (2023)', 'Last Updated': 'Fri, June 30, 2023', 'MLS® #': '936069', 'Date Listed': 'Jun 29, 2023', 'Property Type': 'Single Family', 'Square Footage': '3,165 SQFT', 'Rooms': '20', 'Heating': 'Forced Air, Heat Pump, Natural Gas', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'Full', 'Flooring': 'Hardwood, Tile', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Driveway, Garage Double', 'Fireplace Features': 'Family Room, Gas, Living Room', 'Exterior Features': 'Balcony/Deck, Fencing: Partial, Garden, Sprinkler System'}"
"$585,000",0,0,Land,"104 Bray Rd, Nanaimo, BC, V9T 0C2","This 13,000 sq.ft. lot is the last lot that offers sun exposure, ocean views, & valley views & is perched over the rest of the development adding an element of freedom. The piece of land features private laneway access off of Cottleview Drive & has all city services including natural gas. A level entry home w/ a walkout basement would work beautifully on this lot. The opportunities are endless to build your dream home. Located in a desirable area of Nanaimo, places like Departure Bay Beach, Stephenson Point, & Piper's Lagoon Park are all less than a 5-min drive providing all sorts of activities such as a waterpark, a sports field, tennis courts, cafes, & food trucks. Just a 10-min drive to the Island Highway to easily access other parts of Nanaimo & destinations across Vancouver Island. Minutes away from BC Ferries & seaplane services, there is convenient access to the Lower Mainland & a number of Gulf Islands. (Measurements & data approximate & should be verified if important.)","{'Property Tax': '$2,818 (2022)', 'Last Updated': 'Mon, July 31, 2023', 'MLS® #': '936640', 'Date Listed': 'Jul 6, 2023', 'Property Type': 'Vacant Land', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Area': 'Nanaimo', 'Sewer': 'Sewer To Lot'}"
"$970,000",0,1,"1,758","328 Kennedy St, Nanaimo, BC, V9R 2J1","Developer Alert! Opportunity knocks in Old City. The door is whatever you build beyond it! Don’t miss this RARE legal double lot property located in the heart of beautiful and historical Old City Quarters in Nanaimo, BC. The single-family home is situated on the larger lot and does not straddle both properties. This enables you to start building (without the removal of the home) immediately with approvals from the city. Currently zoned R13 Duplex/multi-family, it allows for many options! The city is currently encouraging higher density in the Official Community Plan (OCP), and therefore, a higher density rezone or a property line variance should be encouraged. Contact us for a full information package! Don’t miss out on this rare property waiting for your future development. All measurements are approximate.","{'Property Tax': '$4,765 (2023)', 'Last Updated': 'Mon, May 29, 2023', 'MLS® #': '932989', 'Date Listed': 'May 29, 2023', 'Property Type': 'Single Family', 'Square Footage': '1,758 SQFT', 'Rooms': '1', 'Heating': 'Electric', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'None', 'Area': 'Nanaimo', 'Roof': 'Asphalt Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'On Street'}"
"$1,079,000",3,3,"2,941","5709 Vanderneuk Rd, Nanaimo, BC, V9T 5H3","Brand new beautiful ocean view house in North Nanaimo. Close to 3,000 square feet with 3 bedrooms plus 1 den and 3 bathrooms. It has 3 levels with each level has fabulous ocean and mountain views. Entry level is sizable 2-car garage and den and 2 piece bathroom, the second level is the master bedroom with huge walk-in closet and ensuite and the two bedrooms 1 bathroom, upper level is the main, with high end kitchen, dining room and living room. Walking distance to schools and Linley valley park. Close to shopping malls. Call today to book a showing. Measurement is approximate, pls verify if important. Price plus GST.","{'Property Tax': '$1 (2022)', 'Last Updated': 'Sun, July 23, 2023', 'MLS® #': '938164', 'Date Listed': 'Jul 21, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,941 SQFT', 'Rooms': '15', 'Heating': 'Forced Air', 'Pet Policy': 'Cats OK, Dogs OK', 'Stories': '3', 'Basement': 'Finished, Full', 'Flooring': 'Laminate, Mixed', 'Area': 'Nanaimo', 'Roof': 'Membrane', 'Sewer': 'Sewer Connected', 'Parking Features': 'Driveway, Garage Double', 'Exterior Features': 'Balcony, Balcony/Deck, Balcony/Patio, Low Maintenance Yard'}"
"$964,900",5,4,"2,455","969&967 Robins St, Nanaimo, BC, V9R 1H8","Unleash your potential as a landlord or enjoy a mortgage-free lifestyle with this gem of a property! A full duplex presently unoccupied and READY for your vision. Zoned as multi-res use, this property offers potential for much more including a carriage home. Subject to city approval.There are tasteful updates on both sides of this duplex, exuding a modern flair throughout. Each two-storey unit boasts an impressive layout - a total of 5 spacious bedrooms and 4 pristine bathrooms. Enjoy the abundant living space and delight in the luminosity of the open-concept kitchens.Outside, you are granted the opportunity to cultivate your green thumb with expansive gardens or design a low-maintenance, zero-scape oasis front and back.Located on a quiet street in an up-and-coming neighbourhood, the location is simply unbeatable!Perfect as a future development site, or a home with a built-in income generator - the choice is yours! Don't let this rare opportunity slip away.All measurements are approx..","{'Property Tax': '$4,825 (2023)', 'Last Updated': 'Wed, June 28, 2023', 'MLS® #': '936004', 'Date Listed': 'Jun 28, 2023', 'Property Type': 'Single Family', 'Square Footage': '2,455 SQFT', 'Rooms': '19', 'Heating': 'Baseboard, Electric', 'Pet Policy': 'Aquariums, Birds, Caged Mammals, Cats OK, Dogs OK', 'Basement': 'None', 'Flooring': 'Basement Slab, Mixed', 'Area': 'Nanaimo', 'Roof': 'Fibreglass Shingle', 'Sewer': 'Sewer Connected', 'Parking Features': 'Additional Parking, Guest, Open', 'Exterior Features': 'Garden, Sprinkler System'}"
